75615124|2|11/12/2024 11:00:44|15/12/2024 11:00:46|
78495612|3|11/12/2024 11:02:48|18/12/2024 11:03:10|
12345678|5|11/12/2024 11:04:00|20/12/2024 11:04:05|
98765432|5|11/12/2024 12:41:13|18/12/2024 12:41:16|
75395145|6|11/12/2024 12:51:00|18/12/2024 12:51:08|
74568923|6|11/12/2024 12:59:05|15/12/2024 12:59:07|
45789623|5|11/12/2024 13:00:11|13/12/2024 13:00:15|
45789623|6|11/12/2024 13:03:39|15/12/2024 13:03:40|
45123698|4|11/12/2024 13:05:21|17/12/2024 13:05:22|
45789621|6|11/12/2024 13:06:27|18/12/2024 13:06:28|
12459638|6|11/12/2024 13:07:08|18/12/2024 13:07:10|
45623189|4|11/12/2024 13:23:30|17/12/2024 13:23:31|
